ID_MUNICIP,name_muni,total_casos,casos_sorotipados,prop_sorotipagem
351520,Estrela D'oeste,3615,144,3.98%
352115,Ipiguá,1529,52,3.40%
354080,Potirendaba,6734,217,3.22%
352570,José Bonifácio,5696,178,3.13%
352070,Indiaporã,2071,54,2.61%
353900,Pirangi,2910,74,2.54%
350800,Buri,1733,39,2.25%
354980,São José Do Rio Preto,236078,5263,2.23%
350480,Bálsamo,1500,33,2.20%
352000,Igaraçu Do Tietê,2650,55,2.08%
353960,Planalto,1591,29,1.82%
353040,Mirassolândia,825,15,1.82%
354970,São José Do Rio Pardo,9062,164,1.81%
354340,Ribeirão Preto,147690,2602,1.76%
353250,Neves Paulista,1925,31,1.61%
355310,Taiaçu,564,9,1.60%
355370,Taquaritinga,14684,228,1.55%
353140,Monte Aprazível,2298,35,1.52%
355410,Taubaté,49027,738,1.51%
350460,Bady Bassitt,4931,69,1.40%
353300,Nova Granada,3122,40,1.28%
352480,Jales,12806,161,1.26%
354640,Santa Cruz Do Rio Pardo,9246,110,1.19%
355690,Vista Alegre Do Alto,1771,21,1.19%
354940,São Joaquim Da Barra,7847,85,1.08%
351200,Colina,2685,29,1.08%
350210,Andradina,17128,178,1.04%
351730,Guaimbê,982,10,1.02%
352450,Jaci,1476,15,1.02%
351110,Catanduva,42628,429,1.01%
353740,Pereira Barreto,3127,30,0.96%
350010,Adamantina,10148,97,0.96%
353625,Parisi,837,8,0.96%
351100,Castilho,4557,43,0.94%
355610,Valentim Gentil,2584,24,0.93%
352930,Matão,16329,148,0.91%
350335,Arco-Íris,565,5,0.88%
351550,Fernandópolis,18586,163,0.88%
353670,Pederneiras,5238,45,0.86%
352370,Itirapuã,699,6,0.86%
352044,Ilha Solteira,4093,34,0.83%
353290,Nova Europa,2303,19,0.83%
352740,Lucélia,2924,24,0.82%
350160,Americana,32685,264,0.81%
354370,Rincão,1742,14,0.80%
350550,Barretos,19887,159,0.80%
353940,Piratininga,1760,14,0.80%
353450,Oscar Bressane,1021,8,0.78%
350930,Cajobi,1532,12,0.78%
354250,Reginópolis,1409,11,0.78%
353150,Monte Azul Paulista,2452,19,0.77%
351620,Franca,34406,266,0.77%
350280,Araçatuba,40617,308,0.76%
351740,Guaíra,10817,82,0.76%
352330,Itariri,541,4,0.74%
355260,Tabapuã,3846,28,0.73%
352270,Itápolis,9038,64,0.71%
352660,Lavrinhas,1004,7,0.70%
354060,Porto Feliz,10335,71,0.69%
353990,Poloni,586,4,0.68%
352530,Jaú,19551,133,0.68%
350420,Auriflama,2796,19,0.68%
353460,Osvaldo Cruz,8255,56,0.68%
353600,Parapuã,2802,19,0.68%
353190,Morro Agudo,7398,50,0.68%
351530,Estrela Do Norte,749,5,0.67%
350610,Bebedouro,11404,75,0.66%
352050,Indaiatuba,15122,99,0.65%
351660,Gália,772,5,0.65%
354425,Rosana,8500,55,0.65%
352950,Mendonça,2944,19,0.65%
350320,Araraquara,63465,392,0.62%
355170,Sertãozinho,19505,120,0.62%
351960,Ibitinga,9736,59,0.61%
354070,Porto Ferreira,9579,58,0.61%
350340,Arealva,1171,7,0.60%
353510,Palmares Paulista,3359,20,0.60%
350520,Bariri,3985,23,0.58%
353030,Mirassol,2948,17,0.58%
355715,Zacarias,521,3,0.58%
351330,Cruzália,696,4,0.57%
351020,Capão Bonito,1793,10,0.56%
354620,Santa Cruz Da Conceição,543,3,0.55%
351240,Cordeirópolis,3630,20,0.55%
353970,Platina,549,3,0.55%
355030,São Paulo,833368,4553,0.55%
350100,Altinópolis,925,5,0.54%
354160,Promissão,3564,19,0.53%
350500,Barão De Antonina,573,3,0.52%
352680,Lençóis Paulista,5365,28,0.52%
353760,Peruíbe,6951,36,0.52%
351670,Garça,14768,76,0.51%
352170,Itaberá,991,5,0.50%
352710,Lins,15072,74,0.49%
355320,Taiúva,818,4,0.49%
353950,Pitangueiras,3570,17,0.48%
354780,Santo André,19313,91,0.47%
352690,Limeira,29685,139,0.47%
354890,São Carlos,47637,222,0.47%
354000,Pompéia,3018,14,0.46%
355720,Chavantes,2397,11,0.46%
351470,Echaporã,1314,6,0.46%
351920,Iacri,1548,7,0.45%
